# Image manifest — extracted from Najd_Alanzi_Integrated_Company_Profile_2026.pptx
# Raster images were renamed by content; SVG icons (generic line icons) are in icons/ keeping their original numbering.
# Per the deck's speaker notes, files named visual-*.png and hero-architecture-night.png are AI-generated illustrations.
# Photos of partner projects (pentagram-*, unlimited-power-*, roya-*, mep-*) and certificates/registrations come from partner profiles.
# Duplicate media inside the pptx were de-duplicated by content hash; a 1px placeholder (image4.png) was skipped.
file	used on slide	shape name in pptx
icons/icon-28.svg	slide 13	رسم 39
icons/icon-29.svg	slide 13	رسم 43
icons/icon-30.svg	slide 13	رسم 47
icons/icon-31.svg	slide 13	رسم 51
icons/icon-32.svg	slide 13	رسم 55
icons/icon-33.svg	slide 13	رسم 59
visual-construction-site.png	slide 14	صورة 28
icons/icon-17.svg	slide 14	رسم 30
icons/icon-35.svg	slide 14	رسم 33
icons/icon-36.svg	slide 14	رسم 36
icons/icon-13.svg	slide 14	رسم 39
hero-architecture-night.png	slide 15	صورة 32
icons/icon-37.svg	slide 15	رسم 35
icons/icon-16.svg	slide 15	رسم 39
icons/icon-7.svg	slide 15	رسم 43
icons/icon-10.svg	slide 15	رسم 47
visual-planning-bim.png	slide 16	صورة 25
icons/icon-38.svg	slide 16	رسم 27
icons/icon-28.svg	slide 16	رسم 30
icons/icon-39.svg	slide 16	رسم 33
logo-najd-alanzi-ar.jpeg	slide 17	صورة 21
mep-hvac-ductwork-1.jpeg	slide 17	صورة 26
mep-hvac-ductwork-2.jpeg	slide 17	صورة 27
icons/icon-21.svg	slide 17	رسم 29
icons/icon-42.svg	slide 17	رسم 32
icons/icon-37.svg	slide 17	رسم 35
visual-industrial-steel.png	slide 18	صورة 26
icons/icon-44.svg	slide 18	رسم 29
icons/icon-19.svg	slide 18	رسم 32
icons/icon-12.svg	slide 18	رسم 35
visual-telecommunications.png	slide 19	صورة 26
icons/icon-18.svg	slide 19	رسم 29
icons/icon-27.svg	slide 19	رسم 32
icons/icon-12.svg	slide 19	رسم 35
visual-water-bottling-facility.png	slide 20	صورة 26
visual-zero-waste.png	slide 21	صورة 31
icons/icon-25.svg	slide 22	رسم 31
icons/icon-48.svg	slide 22	رسم 35
icons/icon-49.svg	slide 22	رسم 39
icons/icon-50.svg	slide 22	رسم 43
logo-najd-alanzi-ar.jpeg	slide 23	صورة 22
roya-turkey-operations-1.jpeg	slide 23	صورة 27
roya-turkey-operations-2.jpeg	slide 23	صورة 28
roya-turkey-operations-3.jpeg	slide 23	صورة 29
icons/icon-20.svg	slide 23	رسم 31
icons/icon-19.svg	slide 23	رسم 34
icons/icon-54.svg	slide 23	رسم 37
logo-najd-alanzi-ar.jpeg	slide 24	صورة 21
visual-logistics.png	slide 24	صورة 26
icons/icon-54.svg	slide 24	رسم 29
icons/icon-56.svg	slide 24	رسم 32
icons/icon-44.svg	slide 24	رسم 35
pentagram-uae-skyscraper.jpeg	slide 25	صورة 25
icons/icon-16.svg	slide 25	رسم 27
icons/icon-44.svg	slide 25	رسم 30
icons/icon-42.svg	slide 25	رسم 33
logo-najd-alanzi-ar.jpeg	slide 26	صورة 15
pentagram-project-souq-waqif.jpeg	slide 26	صورة 20
pentagram-project-villas.jpeg	slide 26	صورة 21
pentagram-project-civil-works.jpeg	slide 26	صورة 22
unlimited-power-qatar-construction.png	slide 27	صورة 25
icons/icon-29.svg	slide 27	رسم 27
icons/icon-48.svg	slide 27	رسم 30
icons/icon-30.svg	slide 27	رسم 33
logo-najd-alanzi-ar.jpeg	slide 28	صورة 25
logo-najd-alanzi-ar.jpeg	slide 29	صورة 14
unlimited-power-project-page-1.jpeg	slide 29	صورة 19
unlimited-power-project-page-2.jpeg	slide 29	صورة 20
unlimited-power-project-page-3.jpeg	slide 29	صورة 21
unlimited-power-project-page-4.jpeg	slide 29	صورة 22
unlimited-power-project-page-5.jpeg	slide 29	صورة 23
icons/icon-67.svg	slide 30	رسم 27
icons/icon-24.svg	slide 30	رسم 31
icons/icon-49.svg	slide 30	رسم 35
logo-najd-alanzi-ar.jpeg	slide 31	صورة 15
cert-iso-9001-2015-unlimited-power.png	slide 31	صورة 20
cert-iso-14001-2015-unlimited-power.png	slide 31	صورة 21
cert-iso-45001-2018-unlimited-power.png	slide 31	صورة 22
icons/icon-71.svg	slide 32	رسم 27
icons/icon-72.svg	slide 32	رسم 31
icons/icon-67.svg	slide 32	رسم 35
logo-najd-alanzi-ar.jpeg	slide 33	صورة 24
icons/icon-9.svg	slide 33	رسم 42
logo-najd-alanzi-ar.jpeg	slide 34	صورة 20
pentagram-commercial-registration-dubai.png	slide 34	صورة 25
icons/icon-16.svg	slide 34	رسم 27
icons/icon-74.svg	slide 34	رسم 30
icons/icon-42.svg	slide 34	رسم 33
logo-najd-alanzi-ar.jpeg	slide 35	صورة 13
unlimited-power-registration-1.png	slide 35	صورة 18
unlimited-power-registration-2.png	slide 35	صورة 19
unlimited-power-registration-3.png	slide 35	صورة 20
unlimited-power-registration-4.png	slide 35	صورة 21
logo-najd-alanzi-ar.jpeg	slide 36	صورة 13
completion-cert-qatarenergy-tower10-fitout.png	slide 36	صورة 18
completion-cert-12-villas-vvip.png	slide 36	صورة 19
icons/icon-9.svg	slide 37	رسم 35
icons/icon-81.svg	slide 37	رسم 39
icons/icon-81.svg	slide 37	رسم 43
icons/icon-81.svg	slide 37	رسم 47
icons/icon-81.svg	slide 37	رسم 51
visual-urban-development.png	slide 38	صورة 25
icons/icon-16.svg	slide 38	رسم 27
icons/icon-20.svg	slide 38	رسم 30
icons/icon-18.svg	slide 38	رسم 33
icons/icon-38.svg	slide 39	رسم 39
icons/icon-22.svg	slide 39	رسم 43
icons/icon-82.svg	slide 39	رسم 47
icons/icon-39.svg	slide 39	رسم 51
icons/icon-49.svg	slide 39	رسم 55
icons/icon-71.svg	slide 39	رسم 59
hero-architecture-night.png	slide 40	صورة 15
logo-najd-alanzi-ar.jpeg	slide 40	صورة 19
icons/icon-9.svg	slide 40	رسم 22
icons/icon-83.svg	slide 40	رسم 24
icons/icon-84.svg	slide 40	رسم 26
icons/icon-56.svg	slide 40	رسم 28
# --- Added separately (received via WhatsApp, not from the pptx) ---
logo-najd-alanzi-ar.jpeg	(pptx)	Arabic wordmark logo, gold on black: نجد العنزي للاستثمار
logo-najd-alanzi-en.jpeg	(WhatsApp 2026-08-05)	English wordmark logo, gold on black: NAJD ALANZI INVESMENT (sic, as printed)
logo-alanazi-najd-eagle-emblem.jpeg	(WhatsApp 2026-07-13)	Circular eagle emblem with NA monogram: ALANAZI NAJD INVESTMENTS / العنزي نجد / نستثمر بثقة .. نصنع المستقبل
partnership-engineers-syndicate-logos.jpeg	(WhatsApp 2026-08-05)	Strategic partnership graphic: Syrian Engineers Syndicate logo + handshake + Najd Alanzi logo
